Spotify Rank,song_name,song_artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
73,YAKWTFGO (feat. Kali Uchis),BIA,0.8227,0.7485,0.8130,0.1477,0.0040,0.0000,0.1673,0.1606,0.5449
74,Come With Me,Kap G,0.6677,0.7345,0.8614,0.0489,0.0528,0.0000,0.2370,0.3516,0.6684
75,Como Si Na,Melii,0.7143,0.7785,0.8591,0.1881,0.2329,0.0000,0.2391,0.7205,0.6607
76,Blah,Mariah,0.7325,0.6874,0.8459,0.2125,0.0256,0.0002,0.1160,0.7896,0.7170
77,Love N Hennessy REMIX (feat. 2 Chainz & Nicky Jam),A.CHAL,0.9402,0.4018,0.7732,0.4793,0.0258,0.0000,0.0713,0.6301,0.5777
78,Mi Infinita,Cuco,0.4711,0.6753,0.7735,0.0515,0.9056,0.2678,0.1016,0.1311,0.4950
79,Coqueta,Katzù Oso,0.6403,0.6523,0.6991,0.0321,0.5733,0.8526,0.1878,0.6037,0.4747
80,Sola,Jessie Reyez,0.4772,0.1783,0.7061,0.0946,0.9247,0.0000,0.0924,0.1972,0.7192
81,Nuestro Planeta (feat. Reykon),Kali Uchis,0.8825,0.5451,0.8005,0.0664,0.0860,0.0005,0.0664,0.4217,0.3963
82,Hijo de Su Madre,Omar Apollo,0.8399,0.6062,0.7849,0.1583,0.0649,0.3922,0.2770,0.7439,0.4872
83,Lento,Rudy Mancuso,0.8480,0.6493,0.8304,0.2040,0.1496,0.0001,0.0945,0.9634,0.6768
84,Dicen,Matt Hunter,0.8278,0.6352,0.8190,0.1467,0.1375,0.0000,0.2401,0.7896,0.4252
85,BEBE,6ix9ine,0.6434,0.9028,0.8725,0.1158,0.1727,0.0000,0.1170,0.2907,0.4212
86,I Like It,Cardi B,0.8267,0.7264,0.8616,0.1371,0.0994,0.0000,0.3703,0.6606,0.5614
87,Zooted (feat. French Montana & Farruko),Becky G,0.8257,0.6262,0.8334,0.1095,0.2681,0.0000,0.2708,0.5803,0.4539
88,Havana - Remix,Camila Cabello,0.7609,0.5791,0.8607,0.0341,0.3996,0.0000,0.1252,0.3547,0.4334
89,Pum Pum,Sammi Sanchez,0.7457,0.9068,0.9238,0.0601,0.0752,0.0001,0.1119,0.6209,0.3838
90,Quiero Saber,Jesse Baez,0.7042,0.8186,0.8236,0.0512,0.0025,0.0000,0.3016,0.6087,0.4250
91,Como,Kim Viera,0.5502,0.8477,0.8722,0.0700,0.0032,0.0000,0.0453,0.6606,0.3799
